SpeciesID	Subfamily	Genus	Species	CName	PaperID	StorageYN	StorageType	Resource	MobilityYN	MobilityType	HabitatType	Invasive	LorF
MYMYPU	Myrmicinae	Myrmica	punctiventris		31WOS(AR)26				Y	I	Deciduous Forest	N	F
PONEOB	Ponerinae	Neoponera	obscuricornis		31WOS(AR)27				Y	A		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		31WOS(AR)29				Y	I		N	L
MYAPAR	Myrmicinae	Aphaenogaster	araneoides		31WOS(AR)28				Y	I		N	F
FOCABI	Formicinae	Cataglyphis	bicolor		31WOS(AR)30				N		Shrub desert	N	F
FOCAFO	Formicinae	Cataglyphis	fortis		31WOS(AR)30				Y	U	Salty coastal plain	N	F
FOPOAM	Formicinae	Polyrhachis	ammon	Golden spiny ant	31WOS(AR)31				Y	I	Sandstone outcrops with pockets of heath	N	F
MYAPAR	Myrmicinae	Aphaenogaster	araneoides		31WOS(AR)33				Y	I	Lowland wet forests	N	F
FOPOLO	Formicinae	Polyrhachis	loweryi		31WOS(AR)35				Y	A		N	L
FOCAIB	Formicinae	Cataglyphis	iberica		31WOS(AR)36				Y	I		N	F
ECRHME	Ectatomminae	Rhytidoponera	metallica		31WOS(AR)38				Y	I		N	F
ECRHME	Ectatomminae	Rhytidoponera	metallica		31WOS(AR)38				Y	I		N	L
ECECOP	Ectatomminae	Ectatomma	opaciventre		31WOS(AR)40				Y	A		N	L
FOPRLO	Formicinae	Proformica	longiseta	Highmountain ant	31WOS(AR)43				Y			N	F
MYVEAN	Myrmicinae	Veromessor	andrei	seed-harvesting ant	31WOS(AR)47				Y	I	Serpentine Grassland	N	F
MYPOBA02	Myrmicinae	Pogonomyrmex	barbatus	harvester ant	31WOS(AR)57				Y	I	Desert	N	F
MYPRPU	Myrmicinae	Pristomyrmex	punctatus	Japanese Queenless Ant	31WOS(AR)60				Y	I	Grassland; Secondary forest	N	F
MYAPRU	Myrmicinae	Aphaenogaster	rudis		31WOS(AR)63				Y	I	Second-growth oak-hickory forest	N	F
FOFOSU02	Formicinae	Formica	subsericea		31WOS(AR)63				Y	I	Second-growth oak-hickory forest	N	F
FOFOPA	Formicinae	Formica	pallidefulva		31WOS(AR)63				Y	I	Second-growth oak-hickory forest	N	F
FOFODI	Formicinae	Formica	difficilis		31WOS(AR)63				Y	I	Second-growth oak-hickory forest		F
DOTASE	Dolichoderinae	Tapinoma	sessile		31WOS(AR)63				Y	I	Second-growth oak-hickory forest	N	F
DONENI	Dorylinae	Neivamyrmex	nigrescens	Army ant	03WOS(AN)14				Y	N		N	L
DOECBU	Dorylinae	Eciton	burchellii	Army ant	03WOS(AN)13				Y	N	Rainforest	N	F
DOECHA	Dorylinae	Eciton	hamatum		03WOS(AN)13				Y	N	Rainforest	N	F
DONENI	Dorylinae	Neivamyrmex	nigrescens	Army ant	03WOS(AN)12				Y	N		N	L
DONENI	Dorylinae	Neivamyrmex	nigrescens	Army ant	03WOS(AN)11				Y	N	Desert-Grassland	N	F
POPLMO	Ponerinae	Platythyrea	modesta		03WOS(AN)09				Y	I		N	F
POPLMO	Ponerinae	Platythyrea	modesta		03WOS(AN)09	N		Grasshopper				N	L
AMONHE	Amblyoponinae	Onychomyrmex	hedleyi		03WOS(AN)08				Y	N	Rainforest	N	F
DOLENO	Dorylinae	Leptanilloides	nomadus		03WOS(AN)05				Y	N	Cloud Forest	N	F
DOLENU	Dorylinae	Leptanilloides	nubecula		03WOS(AN)05				Y	N	Cloud Forest	N	F
DOECBU	Dorylinae	Eciton	burchellii foreli		03WOS(AN)04				Y	N		N	F
DOECDU	Dorylinae	Eciton	dulcium crassinode		03WOS(AN)04				Y	N		N	F
DOECHA	Dorylinae	Eciton	hamatum		03WOS(AN)04				Y	N		N	F
DOECME	Dorylinae	Eciton	mexicanum panamense		03WOS(AN)04				Y	N		N	F
DOECVA	Dorylinae	Eciton	vagans mutatum		03WOS(AN)04				Y	N		N	F
FOEUPR	Formicinae	Euprenolepis	procera		03WOS(AN)01				Y	N		N	F
