SpeciesID	Subfamily	Genus	Species	NumberMeta	WOSresults	Sresults	AveResults	Rank
FOMYME02	Formicinae	Myrmecocystus	mexicanus	3	16	11	13.5	LOW
MYACCR	Myrmicinae	Acromyrmex	crassispinus	1	24	30	27	LOW
POBRCH	Ponerinae	Brachyponera	chinensis	1	19	20	19.5	LOW
FOFOLU	Formicinae	Formica	lugubris	1	143	131	137	HIGH
MYPOMA	Myrmicinae	Pogonomyrmex	mayri	1	4	4	4	LOW
FOPOLU	Formicinae	Polyergus	lucidus	1	20	11	15.5	LOW
FOFOCA	Formicinae	Formica	canadensis	1	7	8	7.5	LOW
MYMYDI	Myrmicinae	Myrmica	discontinua	1	0	2	1	LOW
FOCADE	Formicinae	Camponotus	detritus	1	13	14	13.5	LOW
POLEPR	Ponerinae	Leptogenys	processionalis	1	4	6	5	LOW
FOMEBA	Formicinae	Melophorus	bagoti	1	153	59	106	HIGH
MYCAUR	Myrmicinae	Carebara	urichi	1	1	1	1	LOW
MYPHRY	Myrmicinae	Pheidole	ryukyuensis	1	1	1	1	LOW
FOPRIM	Formicinae	Prenolepis	imparis	1	36	29	32.5	LOW
FOLAFL	Formicinae	Lasius	flavus	1	114	126	120	HIGH
MYMYIN	Myrmicinae	Mycetagroicus	inflatus	1	2	2	2	LOW
POODHA	Ponerinae	Odontomachus	hastatus	1	11	15	13	LOW
DOECLU	Dorylinae	Eciton	lucanoides	1	2	4	3	LOW
DOECRA	Dorylinae	Eciton	rapax	1	5	5	5	LOW
DOLACO	Dorylinae	Labidus	coecus	1	14	17	15.5	LOW
DOLAPR	Dorylinae	Labidus	praedator	1	23	26	24.5	LOW
DONECR	Dorylinae	Neivamyrmex	cristatus	1	0	0	0	LOW
DONEGI	Dorylinae	Neivamyrmex	gibbatus	1	0	1	0.5	LOW
DONOES	Dorylinae	Nomamyrmex	esenbeckii	1	5	5	5	LOW
DONOHA	Dorylinae	Nomamyrmex	hartigii	1	0	0	0	LOW
